sl no,Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
420,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,738.2,0.45,0,28.6,48.15,14.95,8.3
421,Rubber Woodchip,27,64.9,7.3,0.8,46.4,5.7,47.7,0.2,0.01,765.4,0.49,0,27.96,49.21,14.67,8.16
422,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,29.43,35.14,26.83,8.61
423,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,33.17,29.96,28.66,8.22
424,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,750,0.3,0,31.4,34.2,25,9.4
425,Sunflower,8.1,72.56,10.49,8.85,51.01,6.65,41.36,0.96,0.01,800,0.3,0,34.24,30.01,27.29,8.46
426,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,30.6,36.1,24.48,8.82
427,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,35.56,30.7,25.84,7.9
428,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,750,0.3,0,32.58,37,22.4,8.02
429,Willow,8.2,76.48,13.12,2.2,49.83,6.8,40.29,3.08,0.01,800,0.3,0,33.7,35.2,23.4,7.7
430,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,26.9,29.03,35.75,8.32
431,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,28.77,27.89,34.74,8.6
432,Spruce Wood Pellets,8.4,74.2,17.1,0.3,49.44,5.92,44.53,0.1,0.01,780,0.17,0.65,24.91,30.51,36.64,7.94
